epoch,dice_coef,loss,lr,precision,val_dice_coef,val_loss,val_precision
0,0.5826135873794556,0.27869829535484314,1e-04,0.8057379126548767,0.5949264168739319,0.24621334671974182,0.8230513334274292
1,0.6775341033935547,0.20525191724300385,1e-04,0.863274872303009,0.6255473494529724,0.3425734043121338,0.5624100565910339
2,0.7088136076927185,0.18316033482551575,1e-04,0.8763718605041504,0.6601278185844421,0.25196799635887146,0.64539635181427
3,0.7362176775932312,0.1623649150133133,1e-04,0.8911955952644348,0.690054178237915,0.24403326213359833,0.6832001209259033
4,0.7570374608039856,0.14763213694095612,1e-04,0.899624228477478,0.7501819729804993,0.16576625406742096,0.84761643409729
5,0.7733969688415527,0.13638626039028168,1e-04,0.9059252738952637,0.7628568410873413,0.15452249348163605,0.8655701279640198
6,0.7893359661102295,0.12608645856380463,1e-04,0.9130669832229614,0.748959481716156,0.16667085886001587,0.822628378868103
7,0.803410530090332,0.11792236566543579,1e-04,0.9168711304664612,0.7299371361732483,0.19971086084842682,0.753857433795929
8,0.8153427839279175,0.11016415804624557,1e-04,0.9222403764724731,0.7656980156898499,0.16372621059417725,0.8157989978790283
9,0.8213546872138977,0.10706363618373871,1e-04,0.9229475259780884,0.741590678691864,0.18354293704032898,0.7936248183250427
10,0.8317868709564209,0.10194315761327744,1e-04,0.925986647605896,0.6782836318016052,0.33022114634513855,0.7322883009910583
11,0.8328779935836792,0.10021501034498215,1e-05,0.9316522479057312,0.7977861166000366,0.11876340955495834,0.9588045477867126
12,0.857329785823822,0.08169969171285629,1e-05,0.9389987587928772,0.8120654821395874,0.11379572749137878,0.9517802000045776
